univ,docs,cites,top_papers,cpp,country,cluster,tier,sim_to_ECNU
ABT ASSOCIATES NEPAL,16.0,25482.0,11.0,1592.62,nan,0,Type-0,-0.3589543185149072
ABU DHABI UNIVERSITY,724.0,26940.0,26.0,37.207969613259664,UNITED ARAB EMIRATES,0,Type-0,-0.8319891568885889
ACAD BORDEAUX,3269.0,57404.0,19.0,17.559008871214438,nan,0,Type-0,-0.6614219073801246
ACAD HOSP ST JAN,201.0,5507.0,10.0,27.4,nan,0,Type-0,-0.8522260773290338
ACAD MED CTR,259.0,7537.0,1.0,29.1,nan,0,Type-0,-0.8577488433713516
ACAD MED SCI,99.0,21818.0,12.0,220.38,nan,0,Type-0,-0.9953307698272236
ACADEMIA SINICA - TAIWAN,23096.0,567951.0,369.0,24.590452026324904,TAIWAN,0,Type-0,0.9797443441678716
ACADEMIC CENTER FOR DENTISTRY AMSTERDAM,1773.0,39243.0,25.0,22.13,NETHERLANDS,0,Type-0,-0.7699334561007913
"ACADEMIC CENTER FOR EDUCATION, CULTURE & RESEARCH (ACECR)",3844.0,73370.0,29.0,19.087125390218525,IRAN,0,Type-0,-0.5765538631729288
ACADEMIC MEDICAL CENTER AMSTERDAM,16325.0,822410.0,582.0,50.37798529862175,NETHERLANDS,0,Type-0,0.9165098016730231
ACADEMISCH ZIEKENHUIS PARAMARIBO,57.0,5100.0,1.0,89.47,SURINAME,0,Type-0,-0.9188684529881804
ACADEMY FUNDAMENTAL & INTERDISCIPLINARY SCIENCE,446.0,20719.0,7.0,46.456188340807174,CHINA MAINLAND,0,Type-0,-0.8650379779319756
ACADEMY OF ATHENS,1116.0,59844.0,33.0,53.623440860215055,GREECE,0,Type-0,-0.8157355185898152
"ACADEMY OF MATHEMATICS & SYSTEM SCIENCES, CAS",4385.0,54009.0,62.0,12.31473204104903,CHINA MAINLAND,0,Type-0,-0.4691442928072799
ACADEMY OF MILITARY MEDICAL SCIENCES - CHINA,4893.0,118325.0,59.0,24.182225628448805,CHINA MAINLAND,0,Type-0,-0.24596455157239017
ACADEMY OF SCIENCES OF UZBEKISTAN,193.0,3412.0,12.0,17.68,UZBEKISTAN,0,Type-0,-0.8411638748403918
ACADEMY OF SCIENTIFIC & INNOVATIVE RESEARCH (ACSIR),20522.0,350225.0,159.0,17.067169866484747,INDIA,0,Type-0,0.8697167762122916
ACADIA UNIVERSITY,605.0,10708.0,9.0,17.698429752066115,CANADA,0,Type-0,-0.8312618216724615
ACCREDITAT COUNCIL GRAD MED EDUC,211.0,5257.0,4.0,24.91,nan,0,Type-0,-0.8533658331950488
ACIBADEM HOSPITALS GROUP,1002.0,8010.0,6.0,7.99,TURKIYE,0,Type-0,-0.8112492620988117
ACIBADEM UNIVERSITY,2356.0,21715.0,20.0,9.22,TURKIYE,0,Type-0,-0.7378361392119586
ACTELION PHARMACEUTICALS LTD,107.0,4456.0,3.0,41.64000000000001,SWITZERLAND,0,Type-0,-0.8731188232720306
ADAM MICKIEWICZ UNIVERSITY,10405.0,157672.0,86.0,15.153797212878422,POLAND,0,Type-0,0.5679577659281312
ADANA ALPARSLAN TURKES SCIENCE & TECHNOLOGY UNIVERSITY,509.0,7318.0,4.0,14.38,TURKIYE,0,Type-0,-0.8344787487403161
ADANA NUMUNE TRAINING & RESEARCH HOSPITAL,960.0,7048.0,4.0,7.34,TURKIYE,0,Type-0,-0.8135184056393185
ADAPT BIOTECHNOL,84.0,8698.0,13.0,103.54999999999998,nan,0,Type-0,-0.925803506767054
ADAPT KNOWLEDGE MANAGEMENT,18.0,16732.0,13.0,929.56,nan,0,Type-0,-0.5612783836112469
ADDENBROOKE'S HOSPITAL,6066.0,282631.0,277.0,46.59403395977579,ENGLAND,0,Type-0,0.8010669749012682
ADDIS ABABA UNIVERSITY,7905.0,219151.0,157.0,27.7239000632511,ETHIOPIA,0,Type-0,0.8170910491580007
ADELAIDE CANC CTR,44.0,4495.0,7.0,102.16,nan,0,Type-0,-0.9274973156046296
ADELAIDE INSTITUTE FOR SLEEP HEALTH,125.0,6172.0,12.0,49.38,AUSTRALIA,0,Type-0,-0.874905871362287
ADELAIDE MED RES,20.0,11846.0,8.0,592.3,nan,0,Type-0,-0.7913687521018758
ADELPHI GROUP LTD,390.0,6068.0,6.0,15.560000000000002,ENGLAND,0,Type-0,-0.8378592907558411
ADELPHI UNIVERSITY,774.0,10387.0,5.0,13.421782945736433,USA,0,Type-0,-0.8244476401408461
ADEN COLL,3.0,4540.0,2.0,1513.33,nan,0,Type-0,-0.3933634685230978
ADEN UNIV,34.0,7898.0,7.0,232.29,nan,0,Type-0,-0.99533103362109
ADIGRAT UNIV,170.0,29664.0,30.0,174.49,nan,0,Type-0,-0.9718581251765162
ADIYAMAN UNIVERSITY,1740.0,35195.0,17.0,20.227218390804598,TURKIYE,0,Type-0,-0.7783722532467573
ADNAN MENDERES UNIVERSITY,2228.0,17478.0,4.0,7.844035008976662,TURKIYE,0,Type-0,-0.7579911992089342
ADOBE SYSTEMS INC.,384.0,6810.0,3.0,17.73,USA,0,Type-0,-0.842017665505184
ADRIENNE HELIS MALVIN MED RES FDN,34.0,8727.0,8.0,256.68,nan,0,Type-0,-0.9973589109293192
ADV DIGITAL SCI CTR,45.0,4805.0,5.0,106.78,nan,0,Type-0,-0.9319831858366145
ADV RES INST,11.0,8412.0,5.0,764.73,nan,0,Type-0,-0.670192808876163
"ADVANCE CENTRE FOR TREATMENT, RESEARCH & EDUCATION IN CANCER (ACTREC)",537.0,7275.0,5.0,13.55,INDIA,0,Type-0,-0.8322068616243538
ADVANCED ENERGY SCIENCE & TECHNOLOGY GUANGDONG LABORATORY,1216.0,29078.0,52.0,23.9146875,CHINA MAINLAND,0,Type-0,-0.7648970367922061
ADVENTHEALTH,2194.0,73891.0,97.0,33.677064721969,USA,0,Type-0,-0.5652859130900701
ADVENTHEALTH ORLANDO,700.0,14021.0,33.0,20.03,USA,0,Type-0,-0.8083642675806815
ADVENTIST HEALTH SERVICES,2202.0,74026.0,97.0,33.6183923705722,USA,0,Type-0,-0.5643517457736861
ADVENTIST HEALTHCARE,246.0,5956.0,6.0,24.21,AUSTRALIA,0,Type-0,-0.8504542699254897
ADVOCATE CHILDRENS HOSP,296.0,7107.0,4.0,24.01,nan,0,Type-0,-0.8500529855040517
ADVOCATE CHRIST MED CTR,273.0,7433.0,8.0,27.23,nan,0,Type-0,-0.8513759515101854
AERODYNE RESEARCH,552.0,28245.0,26.0,51.170181159420295,USA,0,Type-0,-0.8526725731558101
AEROSP RES INST MAT & PROC TECHNOL,625.0,14557.0,6.0,23.29,nan,0,Type-0,-0.8377119572737578
"AEROSPACE INFORMATION RESEARCH INSTITUTE, CAS",6192.0,77938.0,158.0,12.590699289405684,CHINA MAINLAND,0,Type-0,0.2613598627346639
AFRICA HEALTH RESEARCH INSTITUTE,901.0,45247.0,39.0,50.21849056603774,SOUTH AFRICA,0,Type-0,-0.8218097983869181
AFRICA RICE CENTER,239.0,5904.0,4.0,24.7,COTE IVOIRE,0,Type-0,-0.852369552714723
AFRICAN FIELD EPIDEMIOL NETWORK,54.0,4938.0,1.0,91.44,nan,0,Type-0,-0.9205799677755458
AFRICAN MEDICAL & RESEARCH FOUNDATION (AMREF),56.0,12468.0,5.0,222.64000000000001,KENYA,0,Type-0,-0.9947671554872439
AFRICAN POPULATION & HEALTH RESEARCH CENTRE,827.0,68792.0,46.0,83.18493349455863,KENYA,0,Type-0,-0.8425515467646868
AFRO ASIAN INST,17.0,11488.0,14.0,675.76,nan,0,Type-0,-0.7203102442662119
AFYON KOCATEPE UNIVERSITY,912.0,11104.0,5.0,12.173355263157895,TURKIYE,0,Type-0,-0.8185976387066817
AGA KHAN UNIV HOSP,217.0,4609.0,6.0,21.24,nan,0,Type-0,-0.8483334944405665
AGA KHAN UNIVERSITY,5389.0,188940.0,187.0,35.05863239933197,PAKISTAN,0,Type-0,0.6516617932190064
AGCY HEALTHCARE RES & QUALITY,1.0,16864.0,1.0,16864.0,nan,3,Type-3,-0.11873873847388673
