univ,country,docs,cites,cpp,top_papers,subject
MINIST AGR,,2497.0,57661.0,23.09,37.0,AGRICULTURAL SCIENCES
UNIVERSITY SYSTEM OF OHIO,USA,2975.0,57149.0,19.21,43.0,AGRICULTURAL SCIENCES
AARHUS UNIVERSITY,DENMARK,2861.0,57144.0,19.97,36.0,AGRICULTURAL SCIENCES
UNIVERSITY COLLEGE DUBLIN,IRELAND,1934.0,56373.0,29.15,57.0,AGRICULTURAL SCIENCES
TEAGASC,IRELAND,2303.0,54923.0,23.85,41.0,AGRICULTURAL SCIENCES
UNIVERSITY OF NAPLES FEDERICO II,ITALY,2360.0,54662.0,23.16,38.0,AGRICULTURAL SCIENCES
UNIVERSITY OF ILLINOIS SYSTEM,USA,2697.0,53535.0,19.85,27.0,AGRICULTURAL SCIENCES
UNIVERSITY OF MILAN,ITALY,2469.0,51830.0,20.99,37.0,AGRICULTURAL SCIENCES
UK RESEARCH & INNOVATION (UKRI),ENGLAND,1915.0,51153.0,26.71,40.0,AGRICULTURAL SCIENCES
PURDUE UNIVERSITY SYSTEM,USA,2534.0,50989.0,20.12,28.0,AGRICULTURAL SCIENCES
UNIVERSITY OF WESTERN AUSTRALIA,AUSTRALIA,2176.0,50848.0,23.37,43.0,AGRICULTURAL SCIENCES
PURDUE UNIVERSITY,USA,2524.0,50847.0,20.15,28.0,AGRICULTURAL SCIENCES
UNIVERSITY OF AGRICULTURE FAISALABAD,PAKISTAN,3356.0,49770.0,14.83,36.0,AGRICULTURAL SCIENCES
UNIVERSITY OF WISCONSIN SYSTEM,USA,2648.0,49678.0,18.76,28.0,AGRICULTURAL SCIENCES
UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,USA,2412.0,49414.0,20.49,26.0,AGRICULTURAL SCIENCES
UNIVERSITI PUTRA MALAYSIA,MALAYSIA,2777.0,49026.0,17.65,43.0,AGRICULTURAL SCIENCES
SOUTHWEST UNIVERSITY - CHINA,CHINA MAINLAND,2828.0,48558.0,17.17,34.0,AGRICULTURAL SCIENCES
UNIVERSITY OF WISCONSIN MADISON,USA,2469.0,47679.0,19.31,28.0,AGRICULTURAL SCIENCES
YANGZHOU UNIVERSITY,CHINA MAINLAND,3024.0,47513.0,15.71,47.0,AGRICULTURAL SCIENCES
TEXAS A&M UNIVERSITY SYSTEM,USA,2768.0,47102.0,17.02,26.0,AGRICULTURAL SCIENCES
ISLAMIC AZAD UNIVERSITY,IRAN,3362.0,46759.0,13.91,28.0,AGRICULTURAL SCIENCES
UNIVERSIDADE ESTADUAL PAULISTA,BRAZIL,4721.0,46599.0,9.87,14.0,AGRICULTURAL SCIENCES
UNIVERSITE PARIS SACLAY,FRANCE,2084.0,46513.0,22.32,40.0,AGRICULTURAL SCIENCES
UNIVERSITY OF MINNESOTA SYSTEM,USA,2526.0,46464.0,18.39,33.0,AGRICULTURAL SCIENCES
HELMHOLTZ ASSOCIATION,GERMANY (FED REP GER),1899.0,46399.0,24.43,37.0,AGRICULTURAL SCIENCES
MICHIGAN STATE UNIVERSITY,USA,2392.0,46187.0,19.31,29.0,AGRICULTURAL SCIENCES
FUJIAN AGRICULTURE & FORESTRY UNIVERSITY,CHINA MAINLAND,2514.0,46135.0,18.35,38.0,AGRICULTURAL SCIENCES
LEIBNIZ ASSOCIATION,GERMANY (FED REP GER),1962.0,45579.0,23.23,33.0,AGRICULTURAL SCIENCES
CIBER - CENTRO DE INVESTIGACION BIOMEDICA EN RED,SPAIN,1893.0,45538.0,24.06,38.0,AGRICULTURAL SCIENCES
UNIVERSIDADE DO PORTO,PORTUGAL,2029.0,45520.0,22.43,30.0,AGRICULTURAL SCIENCES
UNIVERSITY OF SYDNEY,AUSTRALIA,1999.0,45402.0,22.71,36.0,AGRICULTURAL SCIENCES
UNIVERSITY OF NEBRASKA SYSTEM,USA,2217.0,45275.0,20.42,36.0,AGRICULTURAL SCIENCES
TIANJIN UNIVERSITY SCIENCE & TECHNOLOGY,CHINA MAINLAND,2082.0,45053.0,21.64,40.0,AGRICULTURAL SCIENCES
WASHINGTON STATE UNIVERSITY,USA,2359.0,44979.0,19.07,28.0,AGRICULTURAL SCIENCES
UNIVERSITY OF ALBERTA,CANADA,1856.0,44128.0,23.78,49.0,AGRICULTURAL SCIENCES
BIOTECHNOLOGY AND BIOLOGICAL SCIENCES RESEARCH COUNCIL (BBSRC),ENGLAND,1678.0,44066.0,26.26,35.0,AGRICULTURAL SCIENCES
UNIV BRETAGNE LOIRE,,2138.0,43884.0,20.53,21.0,AGRICULTURAL SCIENCES
UNIVERSITY OF MELBOURNE,AUSTRALIA,2123.0,43678.0,20.57,43.0,AGRICULTURAL SCIENCES
UNIVERSITY HOHENHEIM,GERMANY (FED REP GER),2346.0,43508.0,18.55,19.0,AGRICULTURAL SCIENCES
UNIVERSITY OF MINNESOTA TWIN CITIES,USA,2371.0,43396.0,18.3,31.0,AGRICULTURAL SCIENCES
SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN,SWITZERLAND,1601.0,43288.0,27.04,44.0,AGRICULTURAL SCIENCES
TEXAS A&M UNIVERSITY COLLEGE STATION,USA,2434.0,43264.0,17.77,26.0,AGRICULTURAL SCIENCES
SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES,SWEDEN,2210.0,43247.0,19.57,27.0,AGRICULTURAL SCIENCES
TECHNICAL UNIVERSITY OF MUNICH,GERMANY (FED REP GER),2047.0,43207.0,21.11,26.0,AGRICULTURAL SCIENCES
UNIVERSITY OF VALENCIA,SPAIN,1506.0,43042.0,28.58,42.0,AGRICULTURAL SCIENCES
UNIVERSITY OF GOTTINGEN,GERMANY (FED REP GER),1602.0,42929.0,26.8,48.0,AGRICULTURAL SCIENCES
UNIVERSITY SYSTEM OF GEORGIA,USA,2956.0,42867.0,14.5,20.0,AGRICULTURAL SCIENCES
UNIVERSITY OF NEBRASKA LINCOLN,USA,2070.0,42801.0,20.68,36.0,AGRICULTURAL SCIENCES
RUTGERS UNIVERSITY SYSTEM,USA,1751.0,42554.0,24.3,43.0,AGRICULTURAL SCIENCES
SHANGHAI JIAO TONG UNIVERSITY,CHINA MAINLAND,2268.0,42444.0,18.71,38.0,AGRICULTURAL SCIENCES
SHANDONG AGRICULTURAL UNIVERSITY,CHINA MAINLAND,2354.0,42394.0,18.01,29.0,AGRICULTURAL SCIENCES
UNIVERSITE DE MONTPELLIER,FRANCE,2871.0,42310.0,14.74,19.0,AGRICULTURAL SCIENCES
SICHUAN AGRICULTURAL UNIVERSITY,CHINA MAINLAND,2621.0,42055.0,16.05,34.0,AGRICULTURAL SCIENCES
RUTGERS UNIVERSITY NEW BRUNSWICK,USA,1731.0,42012.0,24.27,42.0,AGRICULTURAL SCIENCES
UNIVERSITY OF BOLOGNA,ITALY,2073.0,41986.0,20.25,29.0,AGRICULTURAL SCIENCES
KING SAUD UNIVERSITY,SAUDI ARABIA,3347.0,41878.0,12.51,40.0,AGRICULTURAL SCIENCES
HARVARD UNIVERSITY,USA,1843.0,41765.0,22.66,44.0,AGRICULTURAL SCIENCES
COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH (CSIR) - INDIA,INDIA,2271.0,41630.0,18.33,26.0,AGRICULTURAL SCIENCES
OHIO STATE UNIVERSITY,USA,2185.0,41505.0,19.0,29.0,AGRICULTURAL SCIENCES
IOWA STATE UNIVERSITY,USA,2015.0,41140.0,20.42,30.0,AGRICULTURAL SCIENCES
"NANJING INSTITUTE OF SOIL SCIENCE, CAS",CHINA MAINLAND,1566.0,40712.0,26.0,36.0,AGRICULTURAL SCIENCES
KANSAS STATE UNIVERSITY,USA,2348.0,40576.0,17.28,22.0,AGRICULTURAL SCIENCES
KU LEUVEN,BELGIUM,1795.0,40480.0,22.55,23.0,AGRICULTURAL SCIENCES
CIRAD,FRANCE,2559.0,40454.0,15.81,20.0,AGRICULTURAL SCIENCES
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE),USA,2124.0,39780.0,18.73,31.0,AGRICULTURAL SCIENCES
UNIVERSIDADE FEDERAL DE VICOSA,BRAZIL,3808.0,39547.0,10.39,17.0,AGRICULTURAL SCIENCES
AGROPARISTECH,FRANCE,1915.0,39391.0,20.57,24.0,AGRICULTURAL SCIENCES
"INSTITUTE OF SOIL & WATER CONSERVATION (ISWC), CAS",CHINA MAINLAND,1582.0,38399.0,24.27,32.0,AGRICULTURAL SCIENCES
NORTH CAROLINA STATE UNIVERSITY,USA,2467.0,38340.0,15.54,21.0,AGRICULTURAL SCIENCES
DALIAN POLYTECHNIC UNIVERSITY,CHINA MAINLAND,2287.0,37557.0,16.42,36.0,AGRICULTURAL SCIENCES
UNIVERSITY OF AUCKLAND,NEW ZEALAND,1415.0,37487.0,26.49,42.0,AGRICULTURAL SCIENCES
ANHUI AGRICULTURAL UNIVERSITY,CHINA MAINLAND,2011.0,37284.0,18.54,47.0,AGRICULTURAL SCIENCES
CONSIGLIO PER LA RICERCA IN AGRICOLTURA E L'ANALISI DELL'ECONOMIA AGRARIA (CREA),ITALY,1980.0,37268.0,18.82,13.0,AGRICULTURAL SCIENCES
UNIVERSITY COLLEGE CORK,IRELAND,1314.0,36563.0,27.83,33.0,AGRICULTURAL SCIENCES
UNIVERSITY OF TEHRAN,IRAN,1882.0,36115.0,19.19,27.0,AGRICULTURAL SCIENCES
UNIVERSITY OF GEORGIA,USA,2615.0,35998.0,13.77,15.0,AGRICULTURAL SCIENCES
UNIVERSITY OF GRANADA,SPAIN,1696.0,35891.0,21.16,22.0,AGRICULTURAL SCIENCES
MCGILL UNIVERSITY,CANADA,1676.0,35857.0,21.39,32.0,AGRICULTURAL SCIENCES
UNIVERSIDADE DE VIGO,SPAIN,1451.0,35741.0,24.63,59.0,AGRICULTURAL SCIENCES
NATIONAL UNIVERSITY OF SINGAPORE,SINGAPORE,1410.0,35186.0,24.95,41.0,AGRICULTURAL SCIENCES
UNIVERSITY OF LONDON,ENGLAND,1765.0,35038.0,19.85,33.0,AGRICULTURAL SCIENCES
SHENYANG AGRICULTURAL UNIVERSITY,CHINA MAINLAND,2223.0,34782.0,15.65,19.0,AGRICULTURAL SCIENCES
US DEPT HLTH HUMAN SERVICES,,1657.0,34743.0,20.97,27.0,AGRICULTURAL SCIENCES
ETH ZURICH,SWITZERLAND,1213.0,34544.0,28.48,40.0,AGRICULTURAL SCIENCES
OCEAN UNIVERSITY OF CHINA,CHINA MAINLAND,1751.0,34382.0,19.64,39.0,AGRICULTURAL SCIENCES
"INSTITUTE OF FOOD SCIENCE & TECHNOLOGY, CAAS",CHINA MAINLAND,1584.0,33406.0,21.09,38.0,AGRICULTURAL SCIENCES
MASSEY UNIVERSITY,NEW ZEALAND,1813.0,33337.0,18.39,23.0,AGRICULTURAL SCIENCES
INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM),FRANCE,1579.0,33211.0,21.03,30.0,AGRICULTURAL SCIENCES
NANJING FORESTRY UNIVERSITY,CHINA MAINLAND,2240.0,32896.0,14.69,34.0,AGRICULTURAL SCIENCES
UNIVERSITY OF BELGRADE,SERBIA,1926.0,32175.0,16.71,16.0,AGRICULTURAL SCIENCES
SEOUL NATIONAL UNIVERSITY (SNU),SOUTH KOREA,2129.0,32057.0,15.06,13.0,AGRICULTURAL SCIENCES
PENNSYLVANIA STATE UNIVERSITY,USA,1803.0,32030.0,17.76,21.0,AGRICULTURAL SCIENCES
"INSTITUTE OF GEOGRAPHIC SCIENCES & NATURAL RESOURCES RESEARCH, CAS",CHINA MAINLAND,1394.0,31999.0,22.95,25.0,AGRICULTURAL SCIENCES
"INSTITUTE OF AGRICULTURAL RESOURCES & REGIONAL PLANNING, CAAS",CHINA MAINLAND,1165.0,31844.0,27.33,30.0,AGRICULTURAL SCIENCES
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT (IRD),FRANCE,1700.0,31674.0,18.63,18.0,AGRICULTURAL SCIENCES
UNIVERSITY OF HELSINKI,FINLAND,1501.0,31673.0,21.1,22.0,AGRICULTURAL SCIENCES
UNIVERSITY OF BRITISH COLUMBIA,CANADA,1310.0,31442.0,24.0,32.0,AGRICULTURAL SCIENCES
UNIVERSITY SYSTEM OF MARYLAND,USA,1354.0,31409.0,23.2,25.0,AGRICULTURAL SCIENCES
MINIST AGR & RURAL AFFAIRS,,2883.0,31298.0,10.86,49.0,AGRICULTURAL SCIENCES
OREGON STATE UNIVERSITY,USA,1669.0,31118.0,18.64,19.0,AGRICULTURAL SCIENCES
INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM),INDIA,1648.0,30941.0,18.77,32.0,AGRICULTURAL SCIENCES
UNIVERSIDADE DE LISBOA,PORTUGAL,1706.0,30871.0,18.1,16.0,AGRICULTURAL SCIENCES
UNIVERSITY OF TURIN,ITALY,1575.0,30811.0,19.56,17.0,AGRICULTURAL SCIENCES
UNIVERSITY OF ADELAIDE,AUSTRALIA,1754.0,30755.0,17.53,12.0,AGRICULTURAL SCIENCES
UNIVERSITY OF PADUA,ITALY,1794.0,30710.0,17.12,19.0,AGRICULTURAL SCIENCES
UNIVERSIDADE FEDERAL DE SANTA MARIA (UFSM),BRAZIL,2673.0,30663.0,11.47,10.0,AGRICULTURAL SCIENCES
PENNSYLVANIA STATE UNIVERSITY - UNIVERSITY PARK,USA,1692.0,30639.0,18.11,21.0,AGRICULTURAL SCIENCES
UNIVERSITY OF BONN,GERMANY (FED REP GER),1532.0,30592.0,19.97,20.0,AGRICULTURAL SCIENCES
COLORADO STATE UNIVERSITY SYSTEM,USA,1324.0,30511.0,23.04,32.0,AGRICULTURAL SCIENCES
COLORADO STATE UNIVERSITY FORT COLLINS,USA,1319.0,30447.0,23.08,32.0,AGRICULTURAL SCIENCES
HEFEI UNIVERSITY OF TECHNOLOGY,CHINA MAINLAND,1299.0,30417.0,23.42,36.0,AGRICULTURAL SCIENCES
UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,ITALY,1546.0,30358.0,19.64,17.0,AGRICULTURAL SCIENCES
SUN YAT SEN UNIVERSITY,CHINA MAINLAND,1396.0,30260.0,21.68,32.0,AGRICULTURAL SCIENCES
LANZHOU UNIVERSITY,CHINA MAINLAND,1658.0,30071.0,18.14,19.0,AGRICULTURAL SCIENCES
UNIVERSITAT POLITECNICA DE VALENCIA,SPAIN,1568.0,29958.0,19.11,13.0,AGRICULTURAL SCIENCES
UNIVERSITY OF SASKATCHEWAN,CANADA,1481.0,29708.0,20.06,19.0,AGRICULTURAL SCIENCES
CIBEROBN,SPAIN,1076.0,29638.0,27.54,26.0,AGRICULTURAL SCIENCES
UNIVERSITY OF LEEDS,ENGLAND,996.0,29529.0,29.65,39.0,AGRICULTURAL SCIENCES
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,BRAZIL,2070.0,29457.0,14.23,10.0,AGRICULTURAL SCIENCES
PEKING UNIVERSITY,CHINA MAINLAND,1454.0,29382.0,20.21,33.0,AGRICULTURAL SCIENCES
HAINAN UNIVERSITY,CHINA MAINLAND,1919.0,29350.0,15.29,44.0,AGRICULTURAL SCIENCES
UNIVERSIDADE FEDERAL DE LAVRAS,BRAZIL,2895.0,29242.0,10.1,3.0,AGRICULTURAL SCIENCES
HUNAN AGRICULTURAL UNIVERSITY,CHINA MAINLAND,1918.0,29158.0,15.2,29.0,AGRICULTURAL SCIENCES
UNIVERSITY OF READING,ENGLAND,1110.0,28971.0,26.1,19.0,AGRICULTURAL SCIENCES
CATHOLIC UNIVERSITY OF THE SACRED HEART,ITALY,1079.0,28769.0,26.66,35.0,AGRICULTURAL SCIENCES
ICAR - INDIAN AGRICULTURAL RESEARCH INSTITUTE,INDIA,3165.0,28420.0,8.98,17.0,AGRICULTURAL SCIENCES
UNIVERSITY OF ZAGREB,CROATIA,1395.0,28312.0,20.3,31.0,AGRICULTURAL SCIENCES
WARSAW UNIVERSITY OF LIFE SCIENCES,POLAND,1808.0,28303.0,15.65,23.0,AGRICULTURAL SCIENCES
KING ABDULAZIZ UNIVERSITY,SAUDI ARABIA,1013.0,28262.0,27.9,30.0,AGRICULTURAL SCIENCES
BEIJING FORESTRY UNIVERSITY,CHINA MAINLAND,1821.0,28024.0,15.39,14.0,AGRICULTURAL SCIENCES
UNIVERSITY OF MANITOBA,CANADA,1348.0,28017.0,20.78,14.0,AGRICULTURAL SCIENCES
JILIN UNIVERSITY,CHINA MAINLAND,1861.0,27942.0,15.01,20.0,AGRICULTURAL SCIENCES
JINAN UNIVERSITY,CHINA MAINLAND,1271.0,27586.0,21.7,14.0,AGRICULTURAL SCIENCES
QINGDAO AGRICULTURAL UNIVERSITY,CHINA MAINLAND,1674.0,27468.0,16.41,25.0,AGRICULTURAL SCIENCES
POLISH ACADEMY OF SCIENCES,POLAND,1544.0,27451.0,17.78,23.0,AGRICULTURAL SCIENCES
SICHUAN UNIVERSITY,CHINA MAINLAND,1571.0,27444.0,17.47,31.0,AGRICULTURAL SCIENCES
INTERNATIONAL MAIZE & WHEAT IMPROVEMENT CENTER (CIMMYT),MEXICO,1086.0,27395.0,25.23,18.0,AGRICULTURAL SCIENCES
BEIJING NORMAL UNIVERSITY,CHINA MAINLAND,1076.0,27285.0,25.36,28.0,AGRICULTURAL SCIENCES
JIANGSU ACADEMY OF AGRICULTURAL SCIENCES,CHINA MAINLAND,1661.0,27206.0,16.38,16.0,AGRICULTURAL SCIENCES
INSTITUTO POLITECNICO DE BRAGANCA,PORTUGAL,996.0,27075.0,27.18,26.0,AGRICULTURAL SCIENCES
UNITED STATES DEPARTMENT OF ENERGY (DOE),USA,1014.0,26848.0,26.48,26.0,AGRICULTURAL SCIENCES
UNIVERSITY OF BARCELONA,SPAIN,1296.0,26779.0,20.66,15.0,AGRICULTURAL SCIENCES
DEPARTMENT OF PRIMARY INDUSTRIES & REGIONAL DEVELOPMENT NSW,AUSTRALIA,1452.0,26557.0,18.29,11.0,AGRICULTURAL SCIENCES
KYUNG HEE UNIVERSITY,SOUTH KOREA,1356.0,26502.0,19.54,59.0,AGRICULTURAL SCIENCES
ZHEJIANG GONGSHANG UNIVERSITY,CHINA MAINLAND,1264.0,26491.0,20.96,31.0,AGRICULTURAL SCIENCES
UNIVERSITY OF NOTTINGHAM,ENGLAND,1178.0,26404.0,22.41,12.0,AGRICULTURAL SCIENCES
MONTPELLIER SUPAGRO,FRANCE,1206.0,26152.0,21.68,11.0,AGRICULTURAL SCIENCES
UNIVERSITY OF ARKANSAS SYSTEM,USA,1730.0,25779.0,14.9,9.0,AGRICULTURAL SCIENCES
MONASH UNIVERSITY,AUSTRALIA,1348.0,25664.0,19.04,19.0,AGRICULTURAL SCIENCES
UNIVERSITY OF PARMA,ITALY,1141.0,25577.0,22.42,18.0,AGRICULTURAL SCIENCES
UNIVERSITY OF NORTH CAROLINA,USA,1269.0,25504.0,20.1,18.0,AGRICULTURAL SCIENCES
CSIRO AGRICULTURE & FOOD,AUSTRALIA,1204.0,25487.0,21.17,15.0,AGRICULTURAL SCIENCES
UNIVERSITY OF FLORENCE,ITALY,1166.0,25256.0,21.66,15.0,AGRICULTURAL SCIENCES
INSTITUTO DE SALUD CARLOS III,SPAIN,1056.0,25213.0,23.88,24.0,AGRICULTURAL SCIENCES
UNIVERSIDADE FEDERAL DE SANTA CATARINA (UFSC),BRAZIL,1578.0,24843.0,15.74,17.0,AGRICULTURAL SCIENCES
UNIVERSITY OF MARYLAND COLLEGE PARK,USA,1065.0,24808.0,23.29,17.0,AGRICULTURAL SCIENCES
UNIVERSITE DE TOULOUSE,FRANCE,1181.0,24670.0,20.89,21.0,AGRICULTURAL SCIENCES
BOKU UNIVERSITY,AUSTRIA,1207.0,24578.0,20.36,11.0,AGRICULTURAL SCIENCES
CSIC - CENTRO DE EDAFOLOGIA Y BIOLOGIA APLICADA DEL SEGURA (CEBAS),SPAIN,889.0,24273.0,27.3,16.0,AGRICULTURAL SCIENCES
"INSTITUTE OF CROP SCIENCES, CAAS",CHINA MAINLAND,1218.0,24149.0,19.83,17.0,AGRICULTURAL SCIENCES
UNIVERSITY OF LIEGE,BELGIUM,1207.0,24126.0,19.99,13.0,AGRICULTURAL SCIENCES
TECHNICAL UNIVERSITY OF DENMARK,DENMARK,1091.0,24115.0,22.1,16.0,AGRICULTURAL SCIENCES
GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES,CHINA MAINLAND,1475.0,24081.0,16.33,10.0,AGRICULTURAL SCIENCES
UNIVERSITY OF TENNESSEE SYSTEM,USA,1494.0,24066.0,16.11,10.0,AGRICULTURAL SCIENCES
GORGAN UNIVERSITY OF AGRICULTURAL SCIENCES & NATURAL RESOURCES,IRAN,796.0,24055.0,30.22,34.0,AGRICULTURAL SCIENCES
MINIST EDUC,,1588.0,23944.0,15.08,16.0,AGRICULTURAL SCIENCES
NINGBO UNIVERSITY,CHINA MAINLAND,1402.0,23842.0,17.01,30.0,AGRICULTURAL SCIENCES
UNIVERSITY OF OTAGO,NEW ZEALAND,896.0,23679.0,26.43,16.0,AGRICULTURAL SCIENCES
UNIV BOURGOGNE FRANCHE-COMTE COMUE,,1099.0,23644.0,21.51,11.0,AGRICULTURAL SCIENCES
MINISTRY OF WATER RESOURCES,CHINA MAINLAND,925.0,23526.0,25.43,23.0,AGRICULTURAL SCIENCES
PUNJAB AGRICULTURAL UNIVERSITY,INDIA,2152.0,23418.0,10.88,16.0,AGRICULTURAL SCIENCES
"RURAL DEVELOPMENT ADMINISTRATION (RDA), REPUBLIC OF KOREA",SOUTH KOREA,1915.0,23282.0,12.16,9.0,AGRICULTURAL SCIENCES
KOREA UNIVERSITY,SOUTH KOREA,1356.0,23154.0,17.08,16.0,AGRICULTURAL SCIENCES
HENAN UNIVERSITY OF TECHNOLOGY,CHINA MAINLAND,1551.0,23027.0,14.85,13.0,AGRICULTURAL SCIENCES
ROTHAMSTED RESEARCH,ENGLAND,880.0,22960.0,26.09,15.0,AGRICULTURAL SCIENCES
RUSSIAN ACADEMY OF SCIENCES,RUSSIA,1918.0,22949.0,11.97,16.0,AGRICULTURAL SCIENCES
